。 : 。 0 | 、 1 | 的 2 | 国 3 | ， 4 | 一 5 | 在 6 | 中 7 | 人 8 | 了 9 | 
赳 : 噢 0 | 楞 1 | 觐 2 | 枷 3 | 啪 4 | 苔 5 | 偎 6 | 剽 7 | 讹 8 | 荼 9 | 

铄 : 苔 0 | 剽 1 | 枷 2 | 荼 3 | 楞 4 | 鬓 5 | 噢 6 | 嗡 7 | 觐 8 | 遨 9 | 

窨 : 鬓 0 | 嗡 1 | 荼 2 | 遨 3 | 剽 4 | 撇 5 | 苔 6 | 绢 7 | 枷 8 | 瞥 9 | 

攥 : 撇 0 | 绢 1 | 遨 2 | 瞥 3 | 嗡 4 | 榈 5 | 鬓 6 | 禧 7 | 荼 8 | 眩 9 | 

簌 : 榈 0 | 禧 1 | 瞥 2 | 眩 3 | 绢 4 | 侏 5 | 撇 6 | 唾 7 | 遨 8 | 裨 9 | 

箴 : 侏 0 | 唾 1 | 眩 2 | 裨 3 | 禧 4 | 洮 5 | 榈 6 | 噶 7 | 瞥 8 | 飒 9 | 

酚 : 洮 0 | 噶 1 | 裨 2 | 飒 3 | 唾 4 | 惮 5 | 侏 6 | 鲫 7 | 眩 8 | 捂 9 | 

翡 : 惮 0 | 鲫 1 | 飒 2 | 捂 3 | 噶 4 | 琵 5 | 洮 6 | 陉 7 | 裨 8 | 橘 9 | 

骛 : 琵 0 | 陉 1 | 捂 2 | 橘 3 | 鲫 4 | 粼 5 | 惮 6 | 匝 7 | 飒 8 | 愕 9 | 

怦 : 粼 0 | 匝 1 | 橘 2 | 愕 3 | 陉 4 | 覃 5 | 琵 6 | 潞 7 | 捂 8 | 娣 9 | 

圪 : 覃 0 | 潞 1 | 愕 2 | 娣 3 | 匝 4 | 樵 5 | 粼 6 | 喋 7 | 橘 8 | 捺 9 | 

氚 : 樵 0 | 喋 1 | 娣 2 | 捺 3 | 潞 4 | 拭 5 | 覃 6 | 靴 7 | 愕 8 | 攥 9 | 

偎 : 拭 0 | 靴 1 | 捺 2 | 攥 3 | 喋 4 | 嘻 5 | 樵 6 | 蚩 7 | 娣 8 | 芋 9 | 

麒 : 嘻 0 | 蚩 1 | 攥 2 | 芋 3 | 靴 4 | 仃 5 | 拭 6 | 趾 7 | 捺 8 | 稷 9 | 

琉 : 仃 0 | 趾 1 | 芋 2 | 稷 3 | 蚩 4 | 淆 5 | 嘻 6 | 孺 7 | 攥 8 | 冢 9 | 

雌 : 淆 0 | 孺 1 | 稷 2 | 冢 3 | 趾 4 | 茎 5 | 仃 6 | 胄 7 | 芋 8 | 抡 9 | 

拈 : 茎 0 | 胄 1 | 冢 2 | 抡 3 | 孺 4 | 笙 5 | 淆 6 | 囤 7 | 稷 8 | 晦 9 | 

─ : 笙 0 | 囤 1 | 抡 2 | 晦 3 | 胄 4 | 鳖 5 | 茎 6 | 谏 7 | 冢 8 | 忏 9 | 

熹 : 鳖 0 | 谏 1 | 晦 2 | 忏 3 | 囤 4 | 釜 5 | 笙 6 | 谟 7 | 抡 8 | 眈 9 | 

Ⅱ : 釜 0 | 谟 1 | 忏 2 | 眈 3 | 谏 4 | 鸫 5 | 鳖 6 | 赎 7 | 晦 8 | 镍 9 | 

胺 : 鸫 0 | 赎 1 | 眈 2 | 镍 3 | 谟 4 | 呻 5 | 釜 6 | 遒 7 | 忏 8 | 泯 9 | 

捺 : 呻 0 | 遒 1 | 镍 2 | 泯 3 | 赎 4 | 淦 5 | 鸫 6 | 扈 7 | 眈 8 | 咒 9 | 

蚂 : 淦 0 | 扈 1 | 泯 2 | 咒 3 | 遒 4 | 钛 5 | 呻 6 | 钠 7 | 镍 8 | 铡 9 | 

栌 : 钛 0 | 钠 1 | 咒 2 | 铡 3 | 扈 4 | 箫 5 | 淦 6 | 惚 7 | 泯 8 | 霭 9 | 

菩 : 箫 0 | 惚 1 | 铡 2 | 霭 3 | 钠 4 | 苞 5 | 钛 6 | 绛 7 | 咒 8 | 圻 9 | 

叽 : 苞 0 | 绛 1 | 霭 2 | 圻 3 | 惚 4 | 珩 5 | 箫 6 | 牍 7 | 铡 8 | 罹 9 | 

赅 : 珩 0 | 牍 1 | 圻 2 | 罹 3 | 绛 4 | 嘶 5 | 苞 6 | 簧 7 | 霭 8 | 锂 9 | 

腈 : 嘶 0 | 簧 1 | 罹 2 | 锂 3 | 牍 4 | 芷 5 | 珩 6 | 阱 7 | 圻 8 | 孢 9 | 

晌 : 芷 0 | 阱 1 | 锂 2 | 孢 3 | 簧 4 | 湮 5 | 嘶 6 | 咧 7 | 罹 8 | 猕 9 | 

懵 : 湮 0 | 咧 1 | 孢 2 | 猕 3 | 阱 4 | 蠡 5 | 芷 6 | 孀 7 | 锂 8 | 杞 9 | 

掖 : 蠡 0 | 孀 1 | 猕 2 | 杞 3 | 咧 4 | ④ 5 | 湮 6 | 妃 7 | 孢 8 | 郜 9 | 

颍 : ④ 0 | 妃 1 | 杞 2 | 郜 3 | 孀 4 | 舜 5 | 蠡 6 | 挎 7 | 猕 8 | 囱 9 | 

焖 : 舜 0 | 挎 1 | 郜 2 | 囱 3 | 妃 4 | 迤 5 | ④ 6 | 珞 7 | 杞 8 | 玖 9 | 

漱 : 迤 0 | 珞 1 | 囱 2 | 玖 3 | 挎 4 | 匣 5 | 舜 6 | 丐 7 | 郜 8 | 惘 9 | 

淅 : 匣 0 | 丐 1 | 玖 2 | 惘 3 | 珞 4 | 疟 5 | 迤 6 | 茏 7 | 囱 8 | 咛 9 | 

疹 : 疟 0 | 茏 1 | 惘 2 | 咛 3 | 丐 4 | 咚 5 | 匣 6 | 菠 7 | 玖 8 | 铧 9 | 

殚 : 咚 0 | 菠 1 | 咛 2 | 铧 3 | 茏 4 | 撮 5 | 疟 6 | 妖 7 | 惘 8 | 碉 9 | 

睬 : 撮 0 | 妖 1 | 铧 2 | 碉 3 | 菠 4 | 畈 5 | 咚 6 | 荀 7 | 咛 8 | 汨 9 | 

谕 : 畈 0 | 荀 1 | 碉 2 | 汨 3 | 妖 4 | 蘸 5 | 撮 6 | 掖 7 | 铧 8 | 逶 9 | 

禺 : 蘸 0 | 掖 1 | 汨 2 | 逶 3 | 荀 4 | 叽 5 | 畈 6 | 伉 7 | 碉 8 | 弼 9 | 

笙 : 叽 0 | 伉 1 | 逶 2 | 弼 3 | 掖 4 | 庶 5 | 蘸 6 | 郧 7 | 汨 8 | 箍 9 | 

嘶 : 庶 0 | 郧 1 | 弼 2 | 箍 3 | 伉 4 | 杷 5 | 叽 6 | 阙 7 | 逶 8 | 枇 9 | 

鲟 : 杷 0 | 阙 1 | 箍 2 | 枇 3 | 郧 4 | 豉 5 | 庶 6 | 偕 7 | 弼 8 | 蹼 9 | 

芸 : 豉 0 | 偕 1 | 枇 2 | 蹼 3 | 阙 4 | 豚 5 | 杷 6 | 瓮 7 | 箍 8 | 嘿 9 | 

孽 : 豚 0 | 瓮 1 | 蹼 2 | 嘿 3 | 偕 4 | 趸 5 | 豉 6 | 嘈 7 | 枇 8 | 荃 9 | 

耙 : 趸 0 | 嘈 1 | 嘿 2 | 荃 3 | 瓮 4 | 漯 5 | 豚 6 | 疵 7 | 蹼 8 | 韫 9 | 

娲 : 漯 0 | 疵 1 | 荃 2 | 韫 3 | 嘈 4 | 铄 5 | 趸 6 | 屉 7 | 嘿 8 | 厥 9 | 

愫 : 铄 0 | 屉 1 | 韫 2 | 厥 3 | 疵 4 | 嗒 5 | 漯 6 | 畹 7 | 荃 8 | 钺 9 | 

蓿 : 嗒 0 | 畹 1 | 厥 2 | 钺 3 | 屉 4 | 沭 5 | 铄 6 | 逵 7 | 韫 8 | 簌 9 | 

嶙 : 沭 0 | 逵 1 | 钺 2 | 簌 3 | 畹 4 | 掐 5 | 嗒 6 | 嫖 7 | 厥 8 | 懵 9 | 

镍 : 掐 0 | 嫖 1 | 簌 2 | 懵 3 | 逵 4 | 嘟 5 | 沭 6 | 娑 7 | 钺 8 | 翥 9 | 

阄 : 嘟 0 | 娑 1 | 懵 2 | 翥 3 | 嫖 4 | 佬 5 | 掐 6 | 谒 7 | 簌 8 | 呜 9 | 

僮 : 佬 0 | 谒 1 | 翥 2 | 呜 3 | 娑 4 | 嶙 5 | 嘟 6 | 糯 7 | 懵 8 | 妞 9 | 

酗 : 嶙 0 | 糯 1 | 呜 2 | 妞 3 | 谒 4 | 颊 5 | 佬 6 | 莠 7 | 翥 8 | 螃 9 | 

剽 : 颊 0 | 莠 1 | 妞 2 | 螃 3 | 糯 4 | 茗 5 | 嶙 6 | 诧 7 | 呜 8 | 葩 9 | 

蹭 : 茗 0 | 诧 1 | 螃 2 | 葩 3 | 莠 4 | 炖 5 | 颊 6 | 疹 7 | 妞 8 | 辫 9 | 

豌 : 炖 0 | 疹 1 | 葩 2 | 辫 3 | 诧 4 | 晏 5 | 茗 6 | 罄 7 | 螃 8 | 椭 9 | 

恿 : 晏 0 | 罄 1 | 辫 2 | 椭 3 | 疹 4 | 粑 5 | 炖 6 | 壕 7 | 葩 8 | 阑 9 | 

裘 : 粑 0 | 壕 1 | 椭 2 | 阑 3 | 罄 4 | 鳌 5 | 晏 6 | 柠 7 | 辫 8 | 玷 9 | 

亘 : 鳌 0 | 柠 1 | 阑 2 | 玷 3 | 壕 4 | 吝 5 | 粑 6 | 戛 7 | 椭 8 | 俳 9 | 

烬 : 吝 0 | 戛 1 | 玷 2 | 俳 3 | 柠 4 | 锨 5 | 鳌 6 | 呛 7 | 阑 8 | 诤 9 | 

楣 : 锨 0 | 呛 1 | 俳 2 | 诤 3 | 戛 4 | 浠 5 | 吝 6 | 漱 7 | 玷 8 | 莜 9 | 

涿 : 浠 0 | 漱 1 | 诤 2 | 莜 3 | 呛 4 | 杈 5 | 锨 6 | 槌 7 | 俳 8 | 淇 9 | 

怂 : 杈 0 | 槌 1 | 莜 2 | 淇 3 | 漱 4 | 孳 5 | 浠 6 | 坳 7 | 诤 8 | 昙 9 | 

ｘ : 孳 0 | 坳 1 | 淇 2 | 昙 3 | 槌 4 | 蜓 5 | 杈 6 | 琬 7 | 莜 8 | 蜻 9 | 

饽 : 蜓 0 | 琬 1 | 昙 2 | 蜻 3 | 坳 4 | 狩 5 | 孳 6 | 癣 7 | 淇 8 | 咪 9 | 

汀 : 狩 0 | 癣 1 | 蜻 2 | 咪 3 | 琬 4 | 砝 5 | 蜓 6 | 懿 7 | 昙 8 | 皋 9 | 

糅 : 砝 0 | 懿 1 | 咪 2 | 皋 3 | 癣 4 | 楣 5 | 狩 6 | 蓦 7 | 蜻 8 | 沌 9 | 

檀 : 楣 0 | 蓦 1 | 皋 2 | 沌 3 | 懿 4 | 伎 5 | 砝 6 | 陛 7 | 咪 8 | 窨 9 | 

唁 : 伎 0 | 陛 1 | 沌 2 | 窨 3 | 蓦 4 | 峋 5 | 楣 6 | 莒 7 | 皋 8 | 遁 9 | 

俣 : 峋 0 | 莒 1 | 窨 2 | 遁 3 | 陛 4 | 邝 5 | 伎 6 | 峥 7 | 沌 8 | 惴 9 | 

隍 : 邝 0 | 峥 1 | 遁 2 | 惴 3 | 莒 4 | 嵩 5 | 峋 6 | 瞠 7 | 窨 8 | 粕 9 | 

撬 : 嵩 0 | 瞠 1 | 惴 2 | 粕 3 | 峥 4 | ［ 5 | 邝 6 | 籼 7 | 遁 8 | 燧 9 | 

撩 : ［ 0 | 籼 1 | 粕 2 | 燧 3 | 瞠 4 | 亳 5 | 嵩 6 | 庥 7 | 惴 8 | 滁 9 | 

铿 : 亳 0 | 庥 1 | 燧 2 | 滁 3 | 籼 4 | 瘪 5 | ［ 6 | 臼 7 | 粕 8 | 嗅 9 | 

茜 : 瘪 0 | 臼 1 | 滁 2 | 嗅 3 | 庥 4 | 鳄 5 | 亳 6 | 摁 7 | 燧 8 | 脯 9 | 

钺 : 鳄 0 | 摁 1 | 嗅 2 | 脯 3 | 臼 4 | 霆 5 | 瘪 6 | 佘 7 | 滁 8 | 嚓 9 | 

枥 : 霆 0 | 佘 1 | 脯 2 | 嚓 3 | 摁 4 | 咯 5 | 鳄 6 | 圪 7 | 嗅 8 | 馍 9 | 

ｖ : 咯 0 | 圪 1 | 嚓 2 | 馍 3 | 佘 4 | 妒 5 | 霆 6 | ］ 7 | 脯 8 | 翡 9 | 

墒 : 妒 0 | ］ 1 | 馍 2 | 翡 3 | 圪 4 | 痼 5 | 咯 6 | 钴 7 | 嚓 8 | 擞 9 | 

炖 : 痼 0 | 钴 1 | 翡 2 | 擞 3 | ］ 4 | 銮 5 | 妒 6 | 罔 7 | 馍 8 | 孪 9 | 

藩 : 銮 0 | 罔 1 | 擞 2 | 孪 3 | 钴 4 | 铐 5 | 痼 6 | 挞 7 | 翡 8 | 懋 9 | 

脓 : 铐 0 | 挞 1 | 孪 2 | 懋 3 | 罔 4 | 咤 5 | 銮 6 | 羹 7 | 擞 8 | 钎 9 | 

箫 : 咤 0 | 羹 1 | 懋 2 | 钎 3 | 挞 4 | 糜 5 | 铐 6 | 滂 7 | 孪 8 | 糠 9 | 

泔 : 糜 0 | 滂 1 | 钎 2 | 糠 3 | 羹 4 | 惆 5 | 咤 6 | 叱 7 | 懋 8 | 睬 9 | 

鹦 : 惆 0 | 叱 1 | 糠 2 | 睬 3 | 滂 4 | 耙 5 | 糜 6 | 愫 7 | 钎 8 | 猾 9 | 

摈 : 耙 0 | 愫 1 | 睬 2 | 猾 3 | 叱 4 | 徨 5 | 惆 6 | 祯 7 | 糠 8 | 蜗 9 | 

芷 : 徨 0 | 祯 1 | 猾 2 | 蜗 3 | 愫 4 | 懊 5 | 耙 6 | 藁 7 | 睬 8 | 枞 9 | 

萋 : 懊 0 | 藁 1 | 蜗 2 | 枞 3 | 祯 4 | 矍 5 | 徨 6 | 钒 7 | 猾 8 | 豌 9 | 

倜 : 矍 0 | 钒 1 | 枞 2 | 豌 3 | 藁 4 | 蹭 5 | 懊 6 | 箴 7 | 蜗 8 | 哎 9 | 

荚 : 蹭 0 | 箴 1 | 豌 2 | 哎 3 | 钒 4 | 汞 5 | 矍 6 | 貂 7 | 枞 8 | 峒 9 | 

氦 : 汞 0 | 貂 1 | 哎 2 | 峒 3 | 箴 4 | 腆 5 | 蹭 6 | 轼 7 | 豌 8 | 稣 9 | 

唉 : 腆 0 | 轼 1 | 峒 2 | 稣 3 | 貂 4 | 彷 5 | 汞 6 | 岑 7 | 哎 8 | 弭 9 | 

蹉 : 彷 0 | 岑 1 | 稣 2 | 弭 3 | 轼 4 | 铂 5 | 腆 6 | 岫 7 | 峒 8 | 轶 9 | 

瞑 : 铂 0 | 岫 1 | 弭 2 | 轶 3 | 岑 4 | 暧 5 | 彷 6 | 噼 7 | 稣 8 | 岷 9 | 

郴 : 暧 0 | 噼 1 | 轶 2 | 岷 3 | 岫 4 | 跆 5 | 铂 6 | 戮 7 | 弭 8 | 铬 9 | 

磬 : 跆 0 | 戮 1 | 岷 2 | 铬 3 | 噼 4 | 蔺 5 | 暧 6 | 赳 7 | 轶 8 | 孽 9 | 

娑 : 蔺 0 | 赳 1 | 铬 2 | 孽 3 | 戮 4 | 蜇 5 | 跆 6 | 鸠 7 | 岷 8 | 弩 9 | 

腆 : 蜇 0 | 鸠 1 | 孽 2 | 弩 3 | 赳 4 | 忑 5 | 蔺 6 | 塬 7 | 铬 8 | 跺 9 | 

娆 : 忑 0 | 塬 1 | 弩 2 | 跺 3 | 鸠 4 | 甭 5 | 蜇 6 | 栈 7 | 孽 8 | 楫 9 | 

郜 : 甭 0 | 栈 1 | 跺 2 | 楫 3 | 塬 4 | 忐 5 | 忑 6 | 膑 7 | 弩 8 | 嗦 9 | 

呻 : 忐 0 | 膑 1 | 楫 2 | 嗦 3 | 栈 4 | 腼 5 | 甭 6 | 跚 7 | 跺 8 | 嫣 9 | 

浣 : 腼 0 | 跚 1 | 嗦 2 | 嫣 3 | 膑 4 | 蹒 5 | 忐 6 | 蹋 7 | 楫 8 | 辘 9 | 

簧 : 蹒 0 | 蹋 1 | 嫣 2 | 辘 3 | 跚 4 | 撷 5 | 腼 6 | 聩 7 | 嗦 8 | 镁 9 | 

羌 : 撷 0 | 聩 1 | 辘 2 | 镁 3 | 蹋 4 | 甥 5 | 蹒 6 | 菅 7 | 嫣 8 | 狙 9 | 

宓 : 甥 0 | 菅 1 | 镁 2 | 狙 3 | 聩 4 | 胤 5 | 撷 6 | 椽 7 | 辘 8 | 哆 9 | 

莒 : 胤 0 | 椽 1 | 狙 2 | 哆 3 | 菅 4 | 蔫 5 | 甥 6 | 砭 7 | 镁 8 | 陂 9 | 

笮 : 蔫 0 | 砭 1 | 哆 2 | 陂 3 | 椽 4 | 霾 5 | 胤 6 | 笪 7 | 狙 8 | 鹜 9 | 

笞 : 霾 0 | 笪 1 | 陂 2 | 鹜 3 | 砭 4 | 糅 5 | 蔫 6 | 诋 7 | 哆 8 | 噙 9 | 

遒 : 糅 0 | 诋 1 | 鹜 2 | 噙 3 | 笪 4 | 硼 5 | 霾 6 | 丕 7 | 陂 8 | 熨 9 | 

铧 : 硼 0 | 丕 1 | 噙 2 | 熨 3 | 诋 4 | 牒 5 | 糅 6 | 躇 7 | 鹜 8 | 踌 9 | 

蟾 : 牒 0 | 躇 1 | 熨 2 | 踌 3 | 丕 4 | 琨 5 | 硼 6 | 嵊 7 | 噙 8 | 岿 9 | 

囿 : 琨 0 | 嵊 1 | 踌 2 | 岿 3 | 躇 4 | 稔 5 | 牒 6 | 盂 7 | 熨 8 | 卯 9 | 

麾 : 稔 0 | 盂 1 | 岿 2 | 卯 3 | 嵊 4 | 妊 5 | 琨 6 | ┃ 7 | 踌 8 | 猥 9 | 

袄 : 妊 0 | ┃ 1 | 卯 2 | 猥 3 | 盂 4 | 珲 5 | 稔 6 | 砾 7 | 岿 8 | 暄 9 | 

喃 : 珲 0 | 砾 1 | 猥 2 | 暄 3 | ┃ 4 | 笆 5 | 妊 6 | 玮 7 | 卯 8 | 怏 9 | 

旖 : 笆 0 | 玮 1 | 暄 2 | 怏 3 | 砾 4 | 焯 5 | 珲 6 | 褶 7 | 猥 8 | 肮 9 | 

诋 : 焯 0 | 褶 1 | 怏 2 | 肮 3 | 玮 4 | 鬃 5 | 笆 6 | 荤 7 | 暄 8 | 箩 9 | 

瑕 : 鬃 0 | 荤 1 | 肮 2 | 箩 3 | 褶 4 | 拗 5 | 焯 6 | 葺 7 | 怏 8 | 昶 9 | 

隽 : 拗 0 | 葺 1 | 箩 2 | 昶 3 | 荤 4 | 浔 5 | 鬃 6 | 犟 7 | 肮 8 | 啄 9 | 

獭 : 浔 0 | 犟 1 | 昶 2 | 啄 3 | 葺 4 | 晔 5 | 拗 6 | 怆 7 | 箩 8 | 赘 9 | 

罔 : 晔 0 | 怆 1 | 啄 2 | 赘 3 | 犟 4 | 摈 5 | 浔 6 | 淞 7 | 昶 8 | 苣 9 | 

圄 : 摈 0 | 淞 1 | 赘 2 | 苣 3 | 怆 4 | 菩 5 | 晔 6 | 蹿 7 | 啄 8 | 枭 9 | 

掮 : 菩 0 | 蹿 1 | 苣 2 | 枭 3 | 淞 4 | 奘 5 | 摈 6 | 剃 7 | 赘 8 | 赭 9 | 

硼 : 奘 0 | 剃 1 | 枭 2 | 赭 3 | 蹿 4 | 浃 5 | 菩 6 | 峁 7 | 苣 8 | 梆 9 | 

啄 : 浃 0 | 峁 1 | 赭 2 | 梆 3 | 剃 4 | 俐 5 | 奘 6 | 訇 7 | 枭 8 | 碴 9 | 

崽 : 俐 0 | 訇 1 | 梆 2 | 碴 3 | 峁 4 | 绶 5 | 浃 6 | 罂 7 | 赭 8 | 耆 9 | 

⑤ : 绶 0 | 罂 1 | 碴 2 | 耆 3 | 訇 4 | 诃 5 | 俐 6 | 娠 7 | 梆 8 | 嬗 9 | 

厮 : 诃 0 | 娠 1 | 耆 2 | 嬗 3 | 罂 4 | 箕 5 | 绶 6 | 昵 7 | 碴 8 | 箔 9 | 

卤 : 箕 0 | 昵 1 | 嬗 2 | 箔 3 | 娠 4 | ━ 5 | 诃 6 | ┐ 7 | 耆 8 | ┘ 9 | 

奂 : ━ 0 | ┐ 1 | 箔 2 | ┘ 3 | 昵 4 | 恸 5 | 箕 6 | 锏 7 | 嬗 8 | 涕 9 | 

梵 : 恸 0 | 锏 1 | ┘ 2 | 涕 3 | ┐ 4 | 畦 5 | ━ 6 | 唉 7 | 箔 8 | 唠 9 | 

镛 : 畦 0 | 唉 1 | 涕 2 | 唠 3 | 锏 4 | 贲 5 | 恸 6 | 淙 7 | ┘ 8 | 獭 9 | 

潼 : 贲 0 | 淙 1 | 唠 2 | 獭 3 | 唉 4 | 骞 5 | 畦 6 | 霎 7 | 涕 8 | 痊 9 | 

嗽 : 骞 0 | 霎 1 | 獭 2 | 痊 3 | 淙 4 | 酉 5 | 贲 6 | 畿 7 | 唠 8 | 邳 9 | 

谑 : 酉 0 | 畿 1 | 痊 2 | 邳 3 | 霎 4 | 搪 5 | 骞 6 | 嶂 7 | 獭 8 | 盹 9 | 

莓 : 搪 0 | 嶂 1 | 邳 2 | 盹 3 | 畿 4 | 珉 5 | 酉 6 | 珂 7 | 痊 8 | 邕 9 | 

梏 : 珉 0 | 珂 1 | 盹 2 | 邕 3 | 嶂 4 | 茉 5 | 搪 6 | 脓 7 | 邳 8 | 赓 9 | 

鲈 : 茉 0 | 脓 1 | 邕 2 | 赓 3 | 珂 4 | 卤 5 | 珉 6 | 烃 7 | 盹 8 | 觑 9 | 

篝 : 卤 0 | 烃 1 | 赓 2 | 觑 3 | 脓 4 | 柩 5 | 茉 6 | 帙 7 | 邕 8 | 哒 9 | 

猕 : 柩 0 | 帙 1 | 觑 2 | 哒 3 | 烃 4 | 蛰 5 | 卤 6 | 驷 7 | 赓 8 | 栀 9 | 

腼 : 蛰 0 | 驷 1 | 哒 2 | 栀 3 | 帙 4 | 澍 5 | 柩 6 | 麒 7 | 觑 8 | 跄 9 | 

氪 : 澍 0 | 麒 1 | 栀 2 | 跄 3 | 驷 4 | → 5 | 蛰 6 | 绌 7 | 哒 8 | 翎 9 | 

扪 : → 0 | 绌 1 | 跄 2 | 翎 3 | 麒 4 | 耒 5 | 澍 6 | 佚 7 | 栀 8 | 仟 9 | 

屉 : 耒 0 | 佚 1 | 翎 2 | 仟 3 | 绌 4 | 肋 5 | → 6 | 踉 7 | 跄 8 | 臾 9 | 

烷 : 肋 0 | 踉 1 | 仟 2 | 臾 3 | 佚 4 | 饯 5 | 耒 6 | 饷 7 | 翎 8 | 觞 9 | 

苕 : 饯 0 | 饷 1 | 臾 2 | 觞 3 | 踉 4 | 鸳 5 | 肋 6 | 旎 7 | 仟 8 | 旖 9 | 

峋 : 鸳 0 | 旎 1 | 觞 2 | 旖 3 | 饷 4 | 鸵 5 | 饯 6 | 赅 7 | 臾 8 | 烬 9 | 

臼 : 鸵 0 | 赅 1 | 旖 2 | 烬 3 | 旎 4 | 萱 5 | 鸳 6 | 鸯 7 | 觞 8 | 晌 9 | 

鲲 : 萱 0 | 鸯 1 | 烬 2 | 晌 3 | 赅 4 | 隽 5 | 鸵 6 | 拈 7 | 旖 8 | 浜 9 | 

渑 : 隽 0 | 拈 1 | 晌 2 | 浜 3 | 鸯 4 | 悻 5 | 萱 6 | 靛 7 | 烬 8 | 怔 9 | 

浜 : 悻 0 | 靛 1 | 浜 2 | 怔 3 | 拈 4 | 祉 5 | 隽 6 | 窿 7 | 晌 8 | 柞 9 | 

踮 : 祉 0 | 窿 1 | 怔 2 | 柞 3 | 靛 4 | 儋 5 | 悻 6 | 泠 7 | 浜 8 | ｖ 9 | 

汴 : 儋 0 | 泠 1 | 柞 2 | ｖ 3 | 窿 4 | 娉 5 | 祉 6 | 谑 7 | 怔 8 | 妓 9 | 

誊 : 娉 0 | 谑 1 | ｖ 2 | 妓 3 | 泠 4 | 撵 5 | 儋 6 | 捋 7 | 柞 8 | 龛 9 | 

耆 : 撵 0 | 捋 1 | 妓 2 | 龛 3 | 谑 4 | 磺 5 | 娉 6 | 潸 7 | ｖ 8 | 砰 9 | 

旌 : 磺 0 | 潸 1 | 龛 2 | 砰 3 | 捋 4 | 耦 5 | 撵 6 | 醛 7 | 妓 8 | 苓 9 | 

啜 : 耦 0 | 醛 1 | 砰 2 | 苓 3 | 潸 4 | 渑 5 | 磺 6 | 狞 7 | 龛 8 | 鹄 9 | 

鄄 : 渑 0 | 狞 1 | 苓 2 | 鹄 3 | 醛 4 | 啬 5 | 耦 6 | 窠 7 | 砰 8 | 竺 9 | 

唏 : 啬 0 | 窠 1 | 鹄 2 | 竺 3 | 狞 4 | 吩 5 | 渑 6 | 俪 7 | 苓 8 | 藐 9 | 

唆 : 吩 0 | 俪 1 | 竺 2 | 藐 3 | 窠 4 | 苎 5 | 啬 6 | 湟 7 | 鹄 8 | 濯 9 | 

哧 : 苎 0 | 湟 1 | 藐 2 | 濯 3 | 俪 4 | 砻 5 | 吩 6 | 矜 7 | 竺 8 | 旌 9 | 

徨 : 砻 0 | 矜 1 | 濯 2 | 旌 3 | 湟 4 | 坨 5 | 苎 6 | 蠕 7 | 藐 8 | 鲑 9 | 

彷 : 坨 0 | 蠕 1 | 旌 2 | 鲑 3 | 矜 4 | 剁 5 | 砻 6 | 戕 7 | 濯 8 | 骡 9 | 

鹜 : 剁 0 | 戕 1 | 鲑 2 | 骡 3 | 蠕 4 | 骧 5 | 坨 6 | 噜 7 | 旌 8 | 畲 9 | 

拗 : 骧 0 | 噜 1 | 骡 2 | 畲 3 | 戕 4 | 舀 5 | 剁 6 | 宸 7 | 鲑 8 | 腴 9 | 

蜻 : 舀 0 | 宸 1 | 畲 2 | 腴 3 | 噜 4 | 镂 5 | 骧 6 | 咂 7 | 骡 8 | 汊 9 | 

缛 : 镂 0 | 咂 1 | 腴 2 | 汊 3 | 宸 4 | 歙 5 | 舀 6 | 楦 7 | 畲 8 | 聿 9 | 

聩 : 歙 0 | 楦 1 | 汊 2 | 聿 3 | 咂 4 | 榷 5 | 镂 6 | 桧 7 | 腴 8 | 汴 9 | 

嚏 : 榷 0 | 桧 1 | 聿 2 | 汴 3 | 楦 4 | 芥 5 | 歙 6 | 妩 7 | 汊 8 | 娼 9 | 

黠 : 芥 0 | 妩 1 | 汴 2 | 娼 3 | 桧 4 | 潦 5 | 榷 6 | 荻 7 | 聿 8 | 稞 9 | 

筢 : 潦 0 | 荻 1 | 娼 2 | 稞 3 | 妩 4 | 阡 5 | 芥 6 | 僳 7 | 汴 8 | 椁 9 | 

悯 : 阡 0 | 僳 1 | 稞 2 | 椁 3 | 荻 4 | 矾 5 | 潦 6 | 狰 7 | 娼 8 | 尕 9 | 

脲 : 矾 0 | 狰 1 | 椁 2 | 尕 3 | 僳 4 | 皿 5 | 阡 6 | 骝 7 | 稞 8 | 踱 9 | 

庵 : 皿 0 | 骝 1 | 尕 2 | 踱 3 | 狰 4 | 搐 5 | 矾 6 | 婀 7 | 椁 8 | 洌 9 | 

呦 : 搐 0 | 婀 1 | 踱 2 | 洌 3 | 骝 4 | 傈 5 | 皿 6 | 虬 7 | 尕 8 | 邗 9 | 

锃 : 傈 0 | 虬 1 | 洌 2 | 邗 3 | 婀 4 | 淬 5 | 搐 6 | 诩 7 | 踱 8 | 溆 9 | 

阖 : 淬 0 | 诩 1 | 邗 2 | 溆 3 | 虬 4 | 杳 5 | 傈 6 | 淖 7 | 洌 8 | 纣 9 | 

